date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:23:20	36108/36108	---MCZ	200	added ('OK')	text/html	etag:W/%2262befbcf144ab65e980d0f33cf3b0d28%22	https://www.gass.zone/	G:/OneDrive/Documenti/GitHub/UchiVibe-Music/Gass/www.gass.zone/index.html	(from )
13:23:20	4452/4452	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%2292be22c5396cf7e575da77751527e93a%22	https://www.gass.zone/robots.txt		(from )
13:23:21	275820/275820	---M--	200	added ('OK')	image/jpeg	etag:%2213f3d5b1071349dfd00824314e9fc51c%22	https://www.gass.zone/static/og.jpg	G:/OneDrive/Documenti/GitHub/UchiVibe-Music/Gass/www.gass.zone/static/og.jpg	(from https://www.gass.zone/)
13:23:21	938/938	---M--	200	added ('OK')	image/png	etag:%223cc5f282e5317a69dcabd8a1bb09ede0%22	https://www.gass.zone/static/apple-touch-icon.png	G:/OneDrive/Documenti/GitHub/UchiVibe-Music/Gass/www.gass.zone/static/apple-touch-icon.png	(from https://www.gass.zone/)
13:23:21	841/841	---M--	200	added ('OK')	image/png	etag:%22205543631a9a63454f2adfd82537f142%22	https://www.gass.zone/static/favicon-32x32.png	G:/OneDrive/Documenti/GitHub/UchiVibe-Music/Gass/www.gass.zone/static/favicon-32x32.png	(from https://www.gass.zone/)
13:23:22	712/712	---M--	200	added ('OK')	image/png	etag:%22fd9d94817775b7f636e5e4ce4fbd2c5e%22	https://www.gass.zone/static/favicon-16x16.png	G:/OneDrive/Documenti/GitHub/UchiVibe-Music/Gass/www.gass.zone/static/favicon-16x16.png	(from https://www.gass.zone/)
13:23:22	501/501	---M--	200	added ('OK')	application/manifest+json	etag:%22e742d12f9d9e73f423c998a812773362%22	https://www.gass.zone/static/site.webmanifest	G:/OneDrive/Documenti/GitHub/UchiVibe-Music/Gass/www.gass.zone/static/site.webmanifest	(from https://www.gass.zone/)
13:23:22	823/823	---M--	200	added ('OK')	image/svg+xml	etag:%224ab00d9ac058f02ac499c5f8be2fedea%22	https://www.gass.zone/static/safari-pinned-tab.svg	G:/OneDrive/Documenti/GitHub/UchiVibe-Music/Gass/www.gass.zone/static/safari-pinned-tab.svg	(from https://www.gass.zone/)
13:23:23	7406/7406	---MCZ	200	added ('OK')	image/vnd.microsoft.icon	etag:W/%2272bda3949d8de2e615ac603efadf3308%22	https://www.gass.zone/static/favicon.ico	G:/OneDrive/Documenti/GitHub/UchiVibe-Music/Gass/www.gass.zone/static/favicon.ico	(from https://www.gass.zone/)
13:23:23	253/253	---M--	200	added ('OK')	application/xml	etag:%229c211d157b373ae177c28d41995a8df6%22	https://www.gass.zone/static/browserconfig.xml	G:/OneDrive/Documenti/GitHub/UchiVibe-Music/Gass/www.gass.zone/static/browserconfig.xml	(from https://www.gass.zone/)
13:23:23	18229/18229	---MCZ	200	added ('OK')	text/css	etag:W/%22f67b4975d9e7a8a29bef9792b1c9579c%22	https://www.gass.zone/_next/static/css/87e3cc9906b404fa.css	G:/OneDrive/Documenti/GitHub/UchiVibe-Music/Gass/www.gass.zone/_next/static/css/87e3cc9906b404fa.css	(from https://www.gass.zone/)
13:23:23	91434/91434	---MCZ	200	added ('OK')	application/javascript	etag:W/%2299442aec5788bccac9b2f0ead2afdd6b%22	https://www.gass.zone/_next/static/chunks/polyfills-5cd94c89d3acac5f.js	G:/OneDrive/Documenti/GitHub/UchiVibe-Music/Gass/www.gass.zone/_next/static/chunks/polyfills-5cd94c89d3acac5f.js	(from https://www.gass.zone/)
13:23:24	1654/1654	---MCZ	200	added ('OK')	application/javascript	etag:W/%22d8897984dc2b7090ed622d8f9ffbbd4f%22	https://www.gass.zone/_next/static/chunks/webpack-b927671265afed5e.js	G:/OneDrive/Documenti/GitHub/UchiVibe-Music/Gass/www.gass.zone/_next/static/chunks/webpack-b927671265afed5e.js	(from https://www.gass.zone/)
13:23:24	130154/130154	---MCZ	200	added ('OK')	application/javascript	etag:W/%224328303147a9363db368b17367be6c71%22	https://www.gass.zone/_next/static/chunks/framework-91d7f78b5b4003c8.js	G:/OneDrive/Documenti/GitHub/UchiVibe-Music/Gass/www.gass.zone/_next/static/chunks/framework-91d7f78b5b4003c8.js	(from https://www.gass.zone/)
13:23:24	100976/100976	---MCZ	200	added ('OK')	application/javascript	etag:W/%22298477f30f4525aeb9348d9a02ed30ab%22	https://www.gass.zone/_next/static/chunks/main-b2c12c7e1414ac3d.js	G:/OneDrive/Documenti/GitHub/UchiVibe-Music/Gass/www.gass.zone/_next/static/chunks/main-b2c12c7e1414ac3d.js	(from https://www.gass.zone/)
13:23:25	151935/151935	---MCZ	200	added ('OK')	application/javascript	etag:W/%227c525afb97c05c7581fda8252e9ecc6e%22	https://www.gass.zone/_next/static/chunks/pages/_app-701d91b69d374425.js	G:/OneDrive/Documenti/GitHub/UchiVibe-Music/Gass/www.gass.zone/_next/static/chunks/pages/_app-701d91b69d374425.js	(from https://www.gass.zone/)
13:23:25	14537/14537	---MCZ	200	added ('OK')	application/javascript	etag:W/%22c223e88cb8dec997630d6724f76ed969%22	https://www.gass.zone/_next/static/chunks/pages/index-9e49313dc0f2ab1e.js	G:/OneDrive/Documenti/GitHub/UchiVibe-Music/Gass/www.gass.zone/_next/static/chunks/pages/index-9e49313dc0f2ab1e.js	(from https://www.gass.zone/)
13:23:25	408/408	---M--	200	added ('OK')	application/javascript	etag:%22013e57e962bfcf616fdbee19082638b8%22	https://www.gass.zone/_next/static/hSNxpD5wCg6appgDLd4SR/_buildManifest.js	G:/OneDrive/Documenti/GitHub/UchiVibe-Music/Gass/www.gass.zone/_next/static/hSNxpD5wCg6appgDLd4SR/_buildManifest.js	(from https://www.gass.zone/)
13:23:26	113/113	---M--	200	added ('OK')	application/javascript	etag:%221a0056796676db027ba43e0c683dc814%22	https://www.gass.zone/_next/static/hSNxpD5wCg6appgDLd4SR/_ssgManifest.js	G:/OneDrive/Documenti/GitHub/UchiVibe-Music/Gass/www.gass.zone/_next/static/hSNxpD5wCg6appgDLd4SR/_ssgManifest.js	(from https://www.gass.zone/)
13:23:26	92/92	---M--	200	added ('OK')	application/javascript	etag:%227c3f7e060745668041278118c0bb3d6d%22	https://www.gass.zone/_next/static/hSNxpD5wCg6appgDLd4SR/_middlewareManifest.js	G:/OneDrive/Documenti/GitHub/UchiVibe-Music/Gass/www.gass.zone/_next/static/hSNxpD5wCg6appgDLd4SR/_middlewareManifest.js	(from https://www.gass.zone/)
13:23:26	5/5	---M--	200	added ('OK')	text/css	etag:%226739e54c-5%22	https://p.typekit.net/p.css?s=1&k=vrn8hbc&ht=tk&f=23760.39494.39495.39498.39499&a=17095688&app=typekit&e=css	G:/OneDrive/Documenti/GitHub/UchiVibe-Music/Gass/p.typekit.net/pd716.css	(from https://www.gass.zone/)
13:23:26	789/789	---M--	200	added ('OK')	image/svg+xml	etag:%22f880195c764faef356ec4eb366eccaa1%22	https://www.gass.zone/static/smoke.svg	G:/OneDrive/Documenti/GitHub/UchiVibe-Music/Gass/www.gass.zone/static/smoke.svg	(from https://www.gass.zone/)
13:23:27	80418/80418	---M--	200	added ('OK')	image/png	etag:%2286a64ac9d7fa505f8d97903cdebc7325%22	https://www.gass.zone/static/cig-slice-1.png	G:/OneDrive/Documenti/GitHub/UchiVibe-Music/Gass/www.gass.zone/static/cig-slice-1.png	(from https://www.gass.zone/)
13:23:27	46916/46916	---M--	200	added ('OK')	image/png	etag:%22031b05216ba7b0e5194a6c88c2ab7a23%22	https://www.gass.zone/static/cig-slice-2.png	G:/OneDrive/Documenti/GitHub/UchiVibe-Music/Gass/www.gass.zone/static/cig-slice-2.png	(from https://www.gass.zone/)
13:23:28	16196/16196	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%2292be22c5396cf7e575da77751527e93a%22	https://www.gass.zone/%22/static/pattern-c.svg%22	G:/OneDrive/Documenti/GitHub/UchiVibe-Music/Gass/www.gass.zone/_/static/pattern-c.16.delayed	(from https://www.gass.zone/)
